id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1177960329684439040,Sat Sep 28 14:56:42 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AudioFixApp: No matter how good the lenses are, you still need good audio. We obsess over audio quality. Free to try! - Import your vid…",No matter good lenses still need good audio We obsess audio quality Free try Import vid…,"Sentiment(polarity=0.6, subjectivity=0.6666666666666666)",0.6,0.6666666666666666,en,0,1,AudioFixApp,,,AudioFixApp,"Brooklyn, NY",
1177960304602271751,Sat Sep 28 14:56:36 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KTVTAMIL: Look for the answer inside your question - Rumi

Look for the answer inside yourself - #KTVAdmin 

Watch #Vaanam today at 4 P…",Look answer inside question Rumi Look answer inside Watch today P…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,37,Ezhilkrish1995,,"KTVAdmin, Vaanam",KTVTAMIL,,
1177960228500828160,Sat Sep 28 14:56:18 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","*DRUM ROLL* The much awaited #iPhone11 has made its debut so get ready to Pre-book the futuristic experience!
Visit… https://t.co/KOVfHDXs0b",*DRUM ROLL* The much awaited made debut get ready Pre-book futuristic eerience Visit…,"Sentiment(polarity=0.2, subjectivity=0.35)",0.2,0.35,en,0,0,Orionmallpanvel,False,iPhone11,,Orion Mall Panvel,
1177960059923419137,Sat Sep 28 14:55:38 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TheBharatNagpal: I really miss 3D Touch on The new iPhones and iOS 13 ! It was one of the most useful features for me! #iOS13 #iPhone11…,I really miss D Touch The new iPhones iOS It one useful features …,"Sentiment(polarity=0.21212121212121213, subjectivity=0.21818181818181817)",0.21212121212121213,0.21818181818181817,en,0,10,jasneet_kohli,,"iOS13, iPhone11",TheBharatNagpal,"New Delhi, India",
1177959897117466626,Sat Sep 28 14:54:59 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",why is the emoji keyboard the default keyboard when i open a text message when its not set as the default in #iOS13 #iPhone11Pro #iPhone11,emoji keyboard default keyboard open text message set default,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,en,0,0,mcap81,,"iOS13, iPhone11Pro, iPhone11",,"Illinois, USA",
1177959862875164672,Sat Sep 28 14:54:51 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Check this item out, I think your going to love it!  Ultra Thin 10000 MAH Mini Portable USB Type C Power Bank  Dual… https://t.co/g4KBvnQAVZ",Check item I think going love Ultra Thin MAH Mini Portable USB Type C Power Bank Dual…,"Sentiment(polarity=0.04999999999999999, subjectivity=0.7250000000000001)",0.04999999999999999,0.7250000000000001,en,0,0,MrFlyGenious31,False,,,"Cedar Manor Houses, New York",
1177959717072752640,Sat Sep 28 14:54:16 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @YongxiZhu: Amazing! #Apple #iphone11 https://t.co/iviyNGV0fz,Amazing,"Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",0.6000000000000001,0.9,en,0,4861,deepu__123,False,"Apple, iphone11",YongxiZhu,intlo,
1177959653654847490,Sat Sep 28 14:54:01 +0000 2019,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",We Gave It A Test Drive: iPhone 11 Review — From ‘Slofies’ to Cinematic Video. Here's our opinion &gt;… https://t.co/7WGAfycUnu,We Gave It A Test Drive iPhone Review — From ‘ Slofies ’ Cinematic Video Here 's opinion gt …,"Sentiment(polarity=0.0, subjectivity=0.2)",0.0,0.2,en,0,0,Zoomer,False,,,CANADA 🇨🇦,
1177959422603284481,Sat Sep 28 14:53:06 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,440,RJacquinot,,,vectornator,,
1177958802215317505,Sat Sep 28 14:50:38 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","In episode 21 of @serioustechshow, I talk about a bunch of smartphones and other devices released over the summer,… https://t.co/HnMsrbtQxY",In episode I talk bunch smartphones devices released summer …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,theZacharyWebb,False,,serioustechshow,"Indiana, USA",
